bug575294,"Navigation away from a page with an active <select> dropdown menu can be used for URL spoofing, other evil","
RESOLVED
          FIXED
      
","Core

","Layout: Form Controls

  (show other bugs)
","Mats Palmgren (:mats)

","308278
591861
691014
view as bug list
","820921
1199886
759243
760946
775958
780661
783405
803995
805153
806364
807174
836384
","691014
726264
",2010-06-28 09:41,"David Bloom

","2015-08-28 23:33 PDT
      (History)
    ","abillings
akeybl
benjamin
bugs
bugs
bugzilla
bzbarsky
dbaron
dolske
dveditz
enndeakin
futurama
gavin.sharp
joe
jordi.chancel
jruderman
jst
karlt
khuey
MattN+bmo
mounir
philringnalda
roc
tnikkel
tyler
"
bug555018,initialize nsChildView plugin ports,"
RESOLVED
          FIXED
      
","Core

","Widget: Cocoa

  (show other bugs)
","Josh Aas

",NULL,NULL,"527280
",2010-03-25 12:24,"Josh Aas

","2015-10-16 11:49 PDT
      (History)
    ","christian
huzaifas
roc
"
bug527935,Untrusted events should not trigger autocomplete popup,"
RESOLVED
          FIXED
      
","Core

","Editor

  (show other bugs)
","Ehsan Akhgari (don't ask for review please) [Away Nov 3-19]

",NULL,"CVE-2009-3370
625452
626411
",NULL,2009-11-11 09:02,"Paul Stone

","2011-05-04 19:19 PDT
      (History)
    ","dolske
dtownsend
dveditz
ehsan
form.manager
gavin.sharp
jruderman
jwalden+bmo
roc
samuel.sidler+old
"
bug573873,CSRF from 307 redirects,"
RESOLVED
          FIXED
      
","Core

","Plug-ins

  (show other bugs)
","Josh Aas

",NULL,"613376
",NULL,2010-06-22 17:06,"Lucas Adamski [:ladamski]

","2011-10-04 11:02 PDT
      (History)
    ","benjamin
bob
bzbarsky
christian
chung808
gavin.sharp
jaas
jimsonx
jonas
jst
julian.reschke
mh+mozilla
puhley
smadayag
"
bug562547,ParanoidFragmentSinks allow javascript: urls in chrome documents,"
RESOLVED
          FIXED
      
","Core

","DOM

  (show other bugs)
","Robert Sayre

","568395
view as bug list
",NULL,NULL,2010-04-28 19:39,"Daniel Veditz [:dveditz]

","2015-10-16 11:52 PDT
      (History)
    ","abillings
ben.bucksch
bzbarsky
dveditz
ehsan
gavin.sharp
jonas
jst
jwalden+bmo
kairo
mh+mozilla
roberto.suggi
sayrer
"
bug599468,NewIdArray Integer Overflow Remote Code Execution Vulnerability (ZDI-CAN-884),"
RESOLVED
          FIXED
      
","Core

","JavaScript Engine

  (show other bugs)
","Nicholas Nethercote [:njn]

",NULL,NULL,NULL,2010-09-24 13:02,"Reed Loden [:reed] (use needinfo?)

",2011-01-27 17:22,"bzbarsky
christian
dveditz
gal
gavin.sharp
jst
mh+mozilla
mrbkap
n.nethercote
reed
sayrer
"
bug590771,nsDOMAttribute MutationObserver Remote Code Execution Vulnerability (ZDI-CAN-898),"
RESOLVED
          FIXED
      
","Core

","DOM: Core & HTML

  (show other bugs)
","Mounir Lamouri (:mounir)

",NULL,"598877
600466
600468
600471
CVE-2011-3659
",NULL,2010-08-25 16:22,"Reed Loden [:reed] (use needinfo?)

","2013-04-04 13:53 PDT
      (History)
    ","abillings
christian
dsicore
dveditz
gavin.sharp
jonas
jst
mh+mozilla
reed
"
bug527276,[@font-face] investigate support for OpenType sanitizer library,"
RESOLVED
          FIXED
      
","Core

","Graphics

  (show other bugs)
","Jonathan Kew (:jfkthame)

","578482
view as bug list
","600821
601099
601110
601487
605872
613374
615196
619180
637481
","574368
580212
580730
581029
581359
582151
583715
586847
586895
587742
588233
594456
594618
594627
594628
594638
594651
594926
594966
595026
595689
595703
595960
595997
596110
596112
596227
597942
598190
599061
599068
602558
",2009-11-07 18:19,"John Daggett (:jtd)

",2011-03-01 06:59,"alqahira
benjamin
chofmann
christian
dbaron
dveditz
gavin.sharp
jfkthame
joe
jruderman
karlt
khuey
matafagafo
matjk7
mh+mozilla
midnightazbug
mozilla
phiw2
reed
roc
ted
ul.mcamafia
xtc4uall
"
bug594547,Investigate crash downstream from [@nsTreeContentView::InsertRow],"
RESOLVED
          FIXED
      
","Core

","XUL

  (show other bugs)
","Johnny Stenback (:jst, jst@mozilla.com)

",NULL,NULL,NULL,2010-09-08 14:26,"Brandon Sterne (:bsterne)

","2014-09-04 09:40 PDT
      (History)
    ","bzbarsky
dsicore
jonas
jst
jwalden+bmo
mh+mozilla
neil
rforbes
tnikkel
wooshi
"
bug599607,js_MakeArraySlow from 1.9.2 and 1.9.1 is GC-unsafe on 64-bit,"
RESOLVED
          FIXED
      
","Core

","JavaScript Engine

  (show other bugs)
","Igor Bukanov

",NULL,"575024
",NULL,2010-09-25 05:47,"Igor Bukanov

","2011-03-28 16:32 PDT
      (History)
    ","mh+mozilla
n.nethercote
sayrer
shaver
"
bug589190,Binary planting potential in nsMIMEInfoWin::LaunchWithFile,"
RESOLVED
          FIXED
      
","Core

","Document Navigation

  (show other bugs)
","Ehsan Akhgari (don't ask for review please) [Away Nov 3-19]

",NULL,NULL,NULL,2010-08-20 09:16,"Ehsan Akhgari (don't ask for review please) [Away Nov 3-19]

",2010-11-11 14:11,"abillings
dsicore
dveditz
ehsan
gavin.sharp
ladamski
mh+mozilla
reed
shaver
"
bug590753,Insecure handling of LD_LIBRARY_PATH by run-mozilla.sh,"
RESOLVED
          FIXED
      
","Core

","General

  (show other bugs)
","Dmitri Gribenko

",NULL,NULL,NULL,2010-08-25 15:53,"Dmitri Gribenko

",2010-11-11 14:11,"benjamin
bzbarsky
dveditz
gavin.sharp
gribozavr
mh+mozilla
reed
roc
"
bug578697,Browser Wildcard Certificate Validation Issue,"
RESOLVED
          FIXED
      
","NSS

","Libraries

  (show other bugs)
","Nelson Bolyard (seldom reads bugmail)

",NULL,"595300
",NULL,2010-07-14 10:00,"Nelson Bolyard (seldom reads bugmail)

",2010-11-11 14:10,"alvolkov.bgs
chris
christophe.ravel.bugs
dveditz
gavin.sharp
kaie
mh+mozilla
mozbugzilla
mozilla
reed
rich
rrelyea
wtc
"
