bug406541,local java applet may read arbitrary files under certain circumstances,"
RESOLVED
          FIXED
      
","Core

","Plug-ins

  (show other bugs)
","John Schoenick [:johns]

",NULL,"731947
736965
738396
741758
744898
752746
902375
",NULL,2007-12-03 01:43,"georgi - hopefully not receiving bugspam

",2014-11-19 20:03,"abillings
akeybl
bajaj.bhavana
benjamin
brendan
bzbarsky
continuation
dennis.gu
dveditz
garrett.f.robinson+mozilla
gavin.sharp
gkrizsanits
hsivonen
jaas
john
jst
jwalden+bmo
kbrussel
lukasblakk+bugs
mark
ryanvm
thomas.hawtin
wkocher
"
bug411835,"Crash [@ GetChildListNameFor] with -moz-column, position:absolute","
RESOLVED
          FIXED
      
","Core

","Layout

  (show other bugs)
","Mats Palmgren (:mats)

",NULL,"468563
ZDI-CAN-852
","stirdom
randomstyles
379349
412243
429881
463785
508473
",2008-01-10 18:34,"Jesse Ruderman

",2013-02-23 17:10,"brandon
bzbarsky
christian
dbaron
dholbert
dsicore
dveditz
fantasai.bugs
gavin.sharp
hwaara
jwalden+bmo
martijn.martijn
mats
mh+mozilla
reed
roc
samuel.sidler+old
zackw
"
bug476547,"Crash [@ nsTextFrameUtils::TransformText] with MathML, lquote, CSS quotes property","
RESOLVED
          FIXED
      
","Core

","MathML

  (show other bugs)
","Robert O'Callahan (:roc) (Mozilla Corporation)

",NULL,"515771
","randomstyles
347580
",2009-02-02 16:15,"Jesse Ruderman

","2011-06-13 10:01 PDT
      (History)
    ","bugspam.Callek
christian
dveditz
ehsan
fred.wang
gavin.sharp
kairo
karlt
ladamski
mh+mozilla
reed
roc
samuel.sidler+old
stransky
"
bug490790,XMLDocument::load() doesn't check nsIContentPolicy,"
VERIFIED
          FIXED
      
","Core

","XML

  (show other bugs)
","Jonas Sicking (:sicking)

",NULL,NULL,"abp
CSP
",2009-04-30 01:32,"Wladimir Palant

","2014-08-22 12:42 PDT
      (History)
    ","abillings
ashshbhatt
brandon
dveditz
gavin.sharp
jonas
josh
jwalden+bmo
reed
samuel.sidler+old
vdanen
"
bug452093,Redirect to mailto:address in linked image opens email editor,"
RESOLVED
          FIXED
      
","Core

","ImageLib

  (show other bugs)
","Brandon Sterne (:bsterne)

",NULL,NULL,NULL,2008-08-25 09:26,"Henry Sudhof

","2010-07-15 13:54 PDT
      (History)
    ","abillings
brandon
bugzilla.mozilla.org
bugzilla
bzbarsky
cbiesinger
chofmann
cmtalbert
dveditz
gavin.sharp
naderman
reed
samuel.sidler+old
sneaky.simian+bugzilla
will
"
bug492779,PL_Base64Decode integer overflow,"
RESOLVED
          FIXED
      
","NSPR

","NSPR

  (show other bugs)
","Wan-Teh Chang

",NULL,NULL,NULL,2009-05-13 10:27,"monarch2020

","2010-03-17 19:09 PDT
      (History)
    ","abillings
alqahira
asac
bugzilla
dveditz
jlieskov
josh
jwalden+bmo
mh+mozilla
reed
samuel.sidler+old
wtc
"
bug455472,"[FIX]code injection with Content-Type: application/octet-stream, embed and svg - no plugins required","
RESOLVED
          FIXED
      
","Core

","DOM

  (show other bugs)
","Boris Zbarsky [:bz]

",NULL,"455629
548290
",NULL,2008-09-16 01:59,"georgi - hopefully not receiving bugspam

","2010-06-20 09:56 PDT
      (History)
    ","abillings
brandon
bzbarsky
dveditz
gavin.sharp
hskupin
ian
jruderman
jwatt
ladamski
moz_bug_r_a4
mrbkap
reed
roc
samuel.sidler+old
"
bug487872,Investigate NTLM reflection vulnerability,"
RESOLVED
          FIXED
      
","Core

","Networking: HTTP

  (show other bugs)
","Jim Mathies [:jimm]

",NULL,"535193
","520607
",2009-04-10 15:50,"Brandon Sterne (:bsterne)

","2010-07-15 19:10 PDT
      (History)
    ","abillings
benjamin
brendan
bugzilla
bzbarsky
cbiesinger
chofmann
darin.moz
dveditz
gavin.sharp
jbecerra
jduell.mcbugs
jmathies
jst
jwalden+bmo
mozilla
pallor
reed
robert.strong.bugs
rrelyea
rubys
samuel.sidler+old
takahashi
wtc
"
bug468771,"""ASSERTION: the pointer to this sibling will be overwritten"" with -moz-column, table","
RESOLVED
          FIXED
      
","Core

","Layout

  (show other bugs)
","Robert O'Callahan (:roc) (Mozilla Corporation)

","476579
view as bug list
","478131
","stirtable
framedest
430569
476579
",2008-12-09 21:04,"Jesse Ruderman

","2010-04-11 17:01 PDT
      (History)
    ","abillings
bernd_mozilla
bzbarsky
dbaron
dholbert
dveditz
gavin.sharp
jwalden+bmo
karlt
martijn.martijn
reed
roc
"
bug454363,Arbitrary code execution using FeedWriter.onPageChanged() method,"
VERIFIED
          FIXED
      
","Firefox

","RSS Discovery and Preview

  (show other bugs)
","Mano (::mano, needinfo? for any questions; not reading general bugmail)

",NULL,"477128
CVE-2009-1841
",NULL,2008-09-08 23:50,"moz_bug_r_a4

","2009-10-28 12:44 PDT
      (History)
    ","asaf
brandon
bugzilla
bzbarsky
cab
dietrich
dveditz
gavin.sharp
hskupin
jst
jwalden+bmo
mbeltzner
mconnor
mrbkap
samuel.sidler+old
zackw
"
bug453827,Mathematical Script Small k (U+1D4C2) makes the contents of a textbox invisible by scrolling the baseline out of view,"
RESOLVED
          FIXED
      
","Core

","Layout: Form Controls

  (show other bugs)
","Karl Tomlinson (ni?:karlt)

","495179
view as bug list
","481751
","CTL-render-textfield
425004
",2008-09-05 08:07,"Juan Pablo Lopez Yacubian

",2009-12-03 16:23,"abillings
bugzilla
bzbarsky
corrie
dao
dbaron
dsicore
dveditz
gavin.sharp
jdaggett
jfkthame
jruderman
karlt
masayuki
murali.nandigama
reed
roc
samuel.sidler+old
smontagu
vladimir
"
bug467493,"Crash [@ nsHTMLReflowState::GetHypotheticalBoxContainer] with -moz-column, overflow, clear, margin, fixed pos","
RESOLVED
          WORKSFORME
      
","Core

","Layout

  (show other bugs)
","Robert O'Callahan (:roc) (Mozilla Corporation)

",NULL,"191448
","randomstyles
502017
",2008-12-01 21:56,"Jesse Ruderman

","2011-06-13 10:01 PDT
      (History)
    ","abillings
cmtalbert
dholbert
dveditz
fantasai.bugs
gavin.sharp
jwalden+bmo
karlt
martijn.martijn
mats
mozillamarcia.knous
roc
"
bug498897,"Web code gets ""permission denied"" error if a content policy is present","
RESOLVED
          FIXED
      
","Core

","XPConnect

  (show other bugs)
","Peter Van der Beken [:peterv]

",NULL,NULL,"abp
457022
499910
",2009-06-17 07:21,"Wladimir Palant

","2009-09-18 14:18 PDT
      (History)
    ","anthony.s.hughes
bartml
brendan
bugzilla
bzbarsky
cbook
dao
dveditz
fullmetaljacket.xp+bugmail
highmind63
jbecerra
jonas
jwalden+bmo
martijn.martijn
moz_bug_r_a4
mrbkap
peterv
reed
ria.klaassen
samuel.sidler+old
shaver
"
